GRB,Tstart,E051,k,dk,B14,dB14,fmHz,dfmHz,chi2,dof,p-val
050315,138.141837167,12.9147482396,1.50000,0.36753,3.21370,0.14596,4.29530,0.05954,6.17339,185.00000,1.00000
050318,21.5085024693,9.37561777643,1.50000,0.94382,18.91848,4.31904,3.65975,0.24685,68.53353,76.00000,0.71637
050401,16.5552366419,140.286557645,0.86550,0.02793,5.70150,0.20165,14.15660,0.17502,107.21261,319.00000,1.00000
050505,23.888527738,55.8470794638,1.50000,0.37543,5.89897,0.40637,8.93205,0.12718,186.79468,191.00000,0.57244
050730,50.5409744771,1564.53105895,1.50000,0.30251,2.10032,0.11176,47.27626,0.56583,3257.16042,528.00000,0.00000
050904,86.5510760604,920.124282731,0.95370,0.25213,1.42036,0.18055,36.25553,1.55897,2468.13288,207.00000,0.00000
060115,271.582510113,15.905529891,0.48613,0.09453,7.64640,0.93549,4.76678,0.17817,9.98014,21.00000,0.97917
060418,145.814479827,49.7118135987,0.30685,0.02286,0.00010,15.33138,8.42715,0.29780,101.62672,105.00000,0.57502
060512,10.200895678,18.4358174653,0.37239,0.03819,0.22410,0.08839,5.13195,0.32908,43.20580,36.00000,0.19057
060522,145.867583983,8.40653133901,0.86851,0.41126,33.24089,6.05519,3.46545,0.14889,1.92066,8.00000,0.98335
060604,27.1739130435,221.713466955,0.53115,0.03007,0.04501,0.00911,17.79701,0.81150,1958.00488,196.00000,0.00000
060707,271.39152023,25.5084679813,0.59629,0.09279,3.65133,0.32339,6.03661,0.21314,19.64374,25.00000,0.76526
060926,23.8095238095,7.97313513681,1.50000,0.62680,34.05797,3.97283,3.37494,0.12437,6.43555,20.00000,0.99817
060927,4.25692226173,30.460802847,0.95401,0.14402,23.69307,1.59693,6.59662,0.20167,1.31264,15.00000,1.00000
070110,29.8507462687,27.4626529781,0.40769,0.05190,8.07524,1.27609,6.26357,0.15934,1472.97427,188.00000,0.00000
070518,902.705833221,0.402438737421,0.49546,0.25088,16.94285,3.97965,0.75823,0.07388,11.97393,8.00000,0.15237
070802,135.575403272,2.11569026357,0.98323,0.51547,19.37635,5.45742,1.73851,0.18702,14.99735,8.00000,0.05920
071020,317.863954228,528.988930833,0.04153,0.04080,100.00000,8199.01621,27.48997,487.25608,135.13611,86.00000,0.00057
080411,49.2610837438,58.3181671992,0.35607,0.01607,6.63936,0.37706,9.12752,0.10299,304.13964,398.00000,0.99985
080607,108.048473327,69.5293862669,1.11919,0.13535,17.67669,1.15345,9.96633,0.12741,75.10826,112.00000,0.99709
080710,54.2005420054,2.84039591398,0.80579,0.23596,26.37645,3.86786,2.01438,0.08102,83.53041,63.00000,0.04279
080721,5.29294643879,278.829472423,0.74581,0.01316,8.47903,0.10733,19.95815,0.06551,899.17079,1381.00000,1.00000
080810,123.455585372,25.9321149971,1.50000,0.53354,13.50095,1.99498,6.08653,0.21706,33.30073,60.00000,0.99797
080928,234.556633636,6.16869822862,1.50000,0.72594,22.30217,4.03138,2.96857,0.15745,64.19804,74.00000,0.78490
081008,267.721009344,8.04585705496,1.50000,0.48237,17.92551,1.60775,3.39029,0.06155,29.82049,44.00000,0.94953
