GRB,Tstart,E051,k,dk,B14,dB14,omikHz,domikHz,alpha,dalpha,chi2,dof,p-val
100901A,560.200532638,1.0,1.13420,1.10502,3.11608,0.60291,1.55810,0.02687,1.00000,1.16715,603.35275,267.00000,0.00000
110715A,34.6679859605,1.0,0.10668,0.04036,15.31258,1.19979,0.69813,0.07101,0.00000,1.10559,566.46707,257.00000,0.00000
110808A,338.29992961,1.0,0.00247,0.02630,2.11109,10.58230,0.69813,3.76455,1.00000,2.08841,0.66582,9.00000,0.99990
110818A,363.50761295,1.0,1.33051,93.70290,13.44524,201.53479,1.46838,0.20045,0.13226,75.30922,9.60559,34.00000,0.99999
111123A,264.109788068,1.0,1.23089,3.68452,9.82687,5.09635,1.86274,0.07691,1.00000,3.17080,10.19712,40.00000,1.00000
120802A,64.4348505528,1.0,0.84202,1.31311,9.14021,5.84615,1.47512,0.37349,1.00000,4.42251,3.72444,22.00000,1.00000
121024A,303.214069133,1.0,1.04957,14.36347,8.03220,25.01290,1.50339,0.05124,0.00000,19.43140,14.67679,43.00000,0.99998
121211A,311.891915215,1.0,0.74541,4.24549,12.54428,15.28801,3.18803,0.22963,0.00000,11.01874,45.23822,66.00000,0.97624
130408A,1558.35661404,1.0,0.77375,2.76118,6.58807,2.36077,0.89082,0.17353,1.00000,8.83983,95.69460,23.00000,0.00000
130418A,59.4344787447,1.0,0.96459,1.67065,20.88292,17.57127,0.69813,0.09913,1.00000,4.67651,14257.61596,92.00000,0.00000
130420A,137.669902489,1.0,0.12287,0.11337,12.63975,1.23263,2.10078,0.52603,0.00000,1.81272,42.58423,84.00000,0.99995
130505A,305.810397554,1.0,1.19648,1.44118,2.98437,0.69427,0.69813,0.03754,0.99999,2.02257,10445.33254,276.00000,0.00000
130511A,31.4520887455,1.0,0.47471,0.98913,74.88001,25.06835,3.22075,0.22244,0.00000,6.39492,7.15679,24.00000,0.99965
130514A,217.391304348,1.0,1.44135,21.01357,3.84598,10.52669,0.69813,0.05171,0.73518,13.92888,0.99553,25.00000,1.00000
130606A,144.65499783,1.0,1.48895,3.78564,5.95820,2.30501,0.69813,0.02642,1.00000,2.68353,8.45903,35.00000,1.00000
131030A,131.588310257,1.0,0.36344,0.06545,14.23229,0.85090,0.69813,0.00785,0.00000,0.79645,607.75205,311.00000,0.00000
140213A,143.245047118,1.0,0.65451,0.68957,3.39590,0.71129,0.69813,0.01852,0.00000,2.42769,239.43669,193.00000,0.01287
140419A,63.8070552899,1.0,0.77901,2.94108,12.81860,9.84307,0.69813,0.04529,0.00006,8.76953,9190.15178,357.00000,0.00000
140423A,97.8566627865,1.0,0.50086,0.71327,9.57650,1.86269,0.94451,0.04604,0.00000,4.28079,51.22398,95.00000,0.99993
140430A,201.849023173,1.0,2.00000,1.14602,7.98544,2.08496,2.54711,0.28049,1.00000,1.19955,166.15424,42.00000,0.00000
140509A,586.841857344,1.0,2.00000,4.20335,18.55889,7.30101,2.51832,0.11225,1.00000,1.16917,4.47784,19.00000,0.99975
140515A,68.4682013152,1.0,2.00000,0.09787,4.37980,0.86419,0.69813,0.05074,1.00000,0.28438,86.02821,49.00000,0.00085
140629A,30.534351145,1.0,0.73089,0.94461,19.79067,5.32366,1.03219,0.02302,0.00000,2.92891,64.12930,107.00000,0.99967
