GRB,Tstart,E051,k,dk,B14,dB14,fmHz,dfmHz,alpha,dalpha,chi2,dof,p-val
130511A,4.34159683932,10.4087151681,0.05491,0.07326,0.00022,8251.98278,3.85611,1.80178,0.00178,0.00000,15.23193,24.00000,0.91379
130514A,217.391304348,116.164262653,0.37215,0.26177,4.70119,0.82053,12.88212,0.71459,1.00000,2.70421,0.10994,25.00000,1.00000
130604A,611.128840677,34.1762109525,1.50000,inf,1.90704,inf,6.98736,inf,1.00000,inf,0.00085,-1.00000,nan
130606A,144.65499783,69.5863757838,0.95262,0.84666,6.86506,0.69854,9.97041,0.62047,1.00000,1.95292,6.01142,35.00000,1.00000
131030A,131.588310257,52.6778144329,0.25720,0.04852,11.63104,0.81286,8.67491,0.10134,0.00000,0.93509,365.33925,311.00000,0.01832
140213A,143.245047118,67.8879370157,0.24741,0.18775,4.51020,0.48371,9.84798,0.23992,0.00000,3.05414,183.53873,193.00000,0.67566
140419A,63.8070552899,417.313875071,0.45597,0.05953,4.29687,0.11444,24.41644,0.28490,0.82208,0.55807,88.38307,357.00000,1.00000
140423A,46.8371435439,28.9915285383,0.51871,1.08177,9.20204,2.13012,6.43556,0.92472,0.00000,6.51629,51.13252,95.00000,0.99993
140430A,201.849023173,4.36991584273,1.50000,60.46095,8.29405,55.96516,2.49855,1.30675,1.00000,28.60008,166.47787,42.00000,0.00000
140509A,586.841857344,4.53226206202,1.50000,8.61375,19.93392,17.00206,2.54454,0.24956,1.00000,5.71392,5.05992,19.00000,0.99938
140515A,68.4682013152,99.6049150603,1.50000,2.04876,2.83378,0.69745,11.92865,0.72725,1.00000,1.80353,53.64039,49.00000,0.30097
140629A,30.534351145,21.9990558519,0.65971,0.11273,16.33090,0.65371,5.60600,0.11993,1.00000,0.66161,39.55837,107.00000,1.00000
140710A,64.1848523748,1.22933104571,0.27254,0.18485,1.24374,1.94929,1.32521,0.30403,1.00000,75.44311,231.86554,20.00000,0.00000
