GRB,Tstart,E051,alphax,k,dk,B14,dB14,fmHz,dfmHz,chi2,dof,p-val
120724A,452.42679609,851.060368352,0.1,1.50000,5.43361,0.01059,0.41032,34.86833,663.36161,0.48624,4.00000,0.97483
120802A,64.4348505528,13.2229210723,0.1,1.50000,0.47163,7.66632,1.06640,4.34625,0.26010,3.71636,23.00000,1.00000
121024A,303.214069133,12.2097652095,0.1,0.98136,0.38574,8.14245,1.06854,4.17642,0.12588,14.67451,44.00000,0.99999
121211A,311.891915215,2.71385706786,0.1,0.70615,0.25307,12.60092,1.00689,1.96899,0.07970,45.19529,67.00000,0.98120
130408A,132.63765913,118.643256914,0.1,0.42597,0.23958,31.00538,117.70583,13.01885,17.78224,138.99883,48.00000,0.00000
130418A,59.4344787447,461.273563085,0.1,0.45322,0.18223,8.60556,3.08760,25.67026,0.82333,541.85403,93.00000,0.00000
130420A,137.669902489,3.91012246766,0.1,0.30828,0.02695,8.31502,0.63211,2.36345,0.04527,31.74408,85.00000,1.00000
130505A,305.810397554,352.653816481,0.1,0.83795,0.05247,2.11774,0.08864,22.44529,0.25751,209.21395,277.00000,0.99912
130511A,4.34159683932,10.4016769313,0.1,0.05497,0.07179,0.00010,17779.69619,3.85481,1.76255,15.23193,25.00000,0.93579
130514A,217.391304348,119.865627907,0.1,0.49362,0.12745,4.62462,0.63373,13.08574,0.35303,0.11178,26.00000,1.00000
130604A,611.128840677,42.0939196886,0.1,1.50000,inf,1.55519,inf,7.75462,inf,0.00111,0.00000,nan
130606A,144.65499783,73.6993394778,0.1,1.50000,0.84884,6.63554,1.30075,10.26084,0.48453,6.25127,36.00000,1.00000
131030A,131.588310257,52.6007957706,0.1,0.25330,0.02367,11.61919,0.79937,8.66856,0.07140,365.96826,312.00000,0.01907
140213A,143.245047118,67.8817141093,0.1,0.24022,0.04712,4.51182,0.42253,9.84753,0.17921,183.92035,194.00000,0.68682
140419A,63.8070552899,430.730865155,0.1,0.53790,0.02750,4.32764,0.10701,24.80584,0.18091,88.83977,358.00000,1.00000
140423A,46.8371435439,28.8636889351,0.1,0.50292,0.12062,9.22732,0.83538,6.42136,0.12943,51.14124,96.00000,0.99995
140430A,201.849023173,4.86964932155,0.1,1.50000,6.15208,7.80263,5.18940,2.63754,0.56833,168.60103,43.00000,0.00000
140509A,586.841857344,5.49224511948,0.1,1.50000,1.77956,22.54673,9.67603,2.80108,0.38140,7.42095,20.00000,0.99506
140515A,68.4682013152,107.928979928,0.1,1.50000,1.38068,2.71289,0.57914,12.41710,0.88155,56.94192,50.00000,0.23256
140629A,30.534351145,22.8540148125,0.1,0.76655,0.06539,17.02508,0.58408,5.71389,0.08487,43.51897,108.00000,1.00000
140710A,64.1848523748,1.23196172266,0.1,0.27340,0.14148,1.25560,0.94010,1.32663,0.26274,232.00219,21.00000,0.00000
